id;login;password_hash;first_name;last_name;email;image_url;activated;lang_key;created_by;last_modified_by
1;admin;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Nyx;Eclipse;admin@localhost;avatar/user1.jpg;true;es;system;system
2;user;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Luna;Velvet;user@localhost;avatar/user2.jpg;true;es;system;system
3;vantarose;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Vanta;Rose;vantarose@example.com;avatar/user3.jpg;true;es;system;system
4;sableriot;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Sable;Riot;sableriot@example.com;avatar/user4.jpg;true;es;system;system
5;kiraneon;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Kira;Neon;kiraneon@example.com;avatar/user5.jpg;true;es;system;system
6;novachrome;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Nova;Chrome;novachrome@example.com;avatar/user6.jpg;true;es;system;system
7;ravensolstice;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Raven;Solstice;ravensolstice@example.com;avatar/user7.jpg;true;es;system;system
8;echovesper;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Echo;Vesper;echovesper@example.com;avatar/user8.jpg;true;es;system;system
9;ivyhex;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Ivy;Hex;ivyhex@example.com;avatar/user9.jpg;true;es;system;system
10;zaramirage;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Zara;Mirage;zaramirage@example.com;avatar/user10.jpg;true;es;system;system
11;mayastorm;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Maya;Storm;mayastorm@example.com;avatar/user11.jpg;true;es;system;system
12;ninawild;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Nina;Wild;ninawild@example.com;avatar/user12.jpg;true;es;system;system
13;taliastatic;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Talia;Static;taliastatic@example.com;avatar/user13.jpg;true;es;system;system
14;arianoir;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Aria;Noir;arianoir@example.com;avatar/user14.jpg;true;es;system;system
